id,postTimeUTC,countdown,platform,accountId,fact,factGuess,roster
4231380,2026-09-14T13:30,,linkedin,20723,,your-lint-screen-is-clean-the-duct,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231070,2026-09-14T14:30,,youtube,36129,gb,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4189723,2026-09-14T15:00,,instagram,45886,,hocus-pocus-was-a-flop,facebook|instagram|linkedin|pinterest|tiktok|youtube
4409770,2026-09-14T16:00,,tiktok,41488,,targetpartner-ad-the-denim-wall-at-target,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732525,2026-09-14T17:10,,facebook,30840,,slow-mornings-are-underrated-and-i-did,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237052,2026-09-14T17:20,,youtube,36129,trickortreat,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4216880,2026-09-14T18:00,,instagram,45886,,microwaving-your-sponge-doesn-t-sanitize-it,facebook|instagram|linkedin|pinterest|tiktok|youtube
4216888,2026-09-14T19:30,,facebook,30840,,your-lint-screen-is-clean-the-duct,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237082,2026-09-14T20:00,,tiktok,41488,trackA-hal-003,,facebook|instagram|linkedin|pinterest|tiktok|youtube
3691551,2026-09-14T20:00,,instagram,45886,,slow-steady-and-figuring-it-out-as,facebook|instagram|linkedin|pinterest|tiktok|youtube
4244560,2026-09-14T21:00,,pinterest,6328,,1995-the-first-feature-to-carry-a,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059756,2026-09-14T22:00,,facebook,30840,,she-has-1-legal-name-and-about,facebook|instagram|linkedin|pinterest|tiktok|youtube
3472650,2026-09-14T23:00,,instagram,45886,,stopped-somewhere-new-and-the-atmosphere-alone,facebook|instagram|linkedin|pinterest|tiktok|youtube
3836007,2026-09-14T23:00,,tiktok,41488,,she-doesn-t-ask-how-the-day-went,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093090,2026-09-15T00:00,,instagram,65540,,the-full-spa-treatment-age-19,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093092,2026-09-15T00:10,,tiktok,55761,,the-full-spa-treatment-age-19,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059571,2026-09-15T01:00,,instagram,45886,,19-years-old-and-she-still-walks,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231503,2026-09-15T13:30,,linkedin,20723,,your-towels-aren-t-old-they-re-coated,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237078,2026-09-15T14:00,,facebook,30840,coffinbell,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231081,2026-09-15T14:30,,youtube,36129,coffinbell,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231110,2026-09-15T15:00,,instagram,45886,,the-glow-up-is-not-always-a,facebook|instagram|linkedin|pinterest|tiktok|youtube
4409786,2026-09-15T16:00,,tiktok,41488,,targetpartner-ad-the-whole-game-aisle-at,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732532,2026-09-15T17:10,,facebook,30840,,the-3-second-stare-every-time,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732533,2026-09-15T17:20,,youtube,36129,,pov-you-peed-in-mom-s-office-but,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231058,2026-09-15T18:00,,instagram,45886,,i-refuse-to-spend-more-than-10,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231103,2026-09-15T19:30,,facebook,30840,casper,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231112,2026-09-15T20:00,,instagram,45886,turnip,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237253,2026-09-15T20:00,,tiktok,41488,trackA-hal-007,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231083,2026-09-15T20:20,,youtube,36129,lugnano,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4244562,2026-09-15T21:00,,pinterest,6328,,victorian-safety-coffins-came-with-bells-ropes,facebook|instagram|linkedin|pinterest|tiktok|youtube
3691541,2026-09-15T23:00,,instagram,45886,,the-next-upload-is-usually-the-one,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059797,2026-09-15T23:00,,tiktok,41488,,i-left-the-house-so-now-we,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093118,2026-09-16T00:00,,instagram,65540,,her-seat-her-blanket-her-sunbeam,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093122,2026-09-16T00:10,,tiktok,55761,,her-seat-her-blanket-her-sunbeam,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059582,2026-09-16T01:00,,instagram,45886,,she-has-her-own-seat-and-she,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231499,2026-09-16T13:30,,linkedin,20723,,i-explained-the-same-rule-3-times,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231120,2026-09-16T14:00,,facebook,30840,gb,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237070,2026-09-16T14:30,,youtube,36129,afraidark,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231124,2026-09-16T15:00,,instagram,45886,,5-books-that-are-free-forever-not,facebook|instagram|linkedin|pinterest|tiktok|youtube
4409808,2026-09-16T16:00,,tiktok,41488,,targetpartner-ad-my-game-day-lineup-is,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732536,2026-09-16T17:10,,facebook,30840,,unhinged-gratitude-is-being-thankful-for-the,facebook|instagram|linkedin|pinterest|tiktok|youtube
